Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2010-04-01,277.8417663574219,278.5296637839037,269.0022802285376,270.46406225981144,5781432
2010-04-05,276.311279296875,281.0061891405359,274.90109751600164,281.0061891405359,3001836
2010-04-06,273.800537109375,278.220293384336,272.45914889980804,278.220293384336,3702366
2010-04-07,274.4882507324219,278.25449312598283,268.6755304062844,271.7194679474987,3024558
2010-04-08,274.9698486328125,277.7386320353142,271.7195285546727,273.78322117660696,4494438
2010-04-09,272.26983642578125,277.8762181400819,271.1176164498541,275.84691201114236,3018012
2010-04-12,274.5054931640625,275.1590041962149,271.7539031221003,272.0634653990075,2869882
2010-04-13,282.33026123046875,283.34491401942654,270.7735941577267,275.15893976015417,8404916
2010-04-15,282.6227722167969,287.1629012028322,281.71129937364464,282.72595267246254,4290952
2010-04-16,280.3525695800781,284.7895160902634,279.2347363345547,281.69397787189104,3810958
2010-04-19,279.26922607421875,283.75775361462,275.4169954023115,278.59852173071783,6947704
2010-04-20,271.5475769042969,286.38897598346085,270.6877049064999,283.75775927301447,12016986
2010-04-21,269.99981689453125,274.8151002531598,268.36606004071086,273.4393050078374,7107490
2010-04-22,270.32647705078125,272.9748861618513,268.62392683702456,271.40990282829034,4751116
2010-04-23,268.3487854003906,272.407375944404,267.4201196928966,271.0487743531594,4306068
2010-04-26,270.0342102050781,272.0635166404184,268.34887358273363,270.3437725402893,2512548
2010-04-27,270.7909851074219,271.6852649103659,268.6413043209839,270.32666245474184,2621234
2010-04-28,264.9435729980469,269.6384792645445,263.12064981880803,268.27987824662785,2400382
2010-04-29,261.315185546875,266.64639367583396,259.88778916677,266.59479294191186,4622964
2010-04-30,263.2583312988281,265.80353896627577,262.27806495302536,263.12074342795563,3690224
2010-05-03,263.7399597167969,265.3221369370065,259.371805359458,261.8310479011364,2416560
2010-05-04,261.7449951171875,266.5086768413851,260.3004061886441,266.5086768413851,2896028
2010-05-05,263.3787536621094,264.15263834476,254.57367411447024,257.9615608835547,4371230
2010-05-06,263.8431701660156,265.1501926683072,261.1259866848221,264.1355393017274,2580872
2010-05-07,255.00355529785156,262.29525039219885,252.80227538709246,260.36914621500546,4267152
2010-05-10,264.9265441894531,289.9488175939097,256.24183761264857,261.40106924243344,2327814
2010-05-11,260.1285400390625,267.9361840025586,259.3030753028751,266.560388449272,1351288
2010-05-12,261.2117919921875,264.1353553554709,258.33980832777524,260.3691136477082,2740076
2010-05-13,263.3271789550781,265.9412022926001,261.8998041063552,263.1552045641741,1321452
2010-05-14,262.7252502441406,267.24818480632473,259.68131213484577,263.4647484705853,2026996
2010-05-17,256.4996643066406,266.54296746299775,252.4926547841851,266.54296746299775,3722050
2010-05-18,252.8367919921875,256.5858428655621,249.81004630175113,256.5858428655621,3199180
2010-05-19,248.15899658203125,252.11440678396244,246.37045907473924,251.08256064432823,3929266
2010-05-20,251.08255004882812,251.87362785723877,246.31886896905937,250.7386013501311,2398092
2010-05-21,247.19601440429688,249.67245003948605,235.69092248985385,244.2036555531503,2675092
2010-05-24,246.81777954101562,251.08275528831032,245.13244213555316,249.36301038907533,2885428
